                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.2242,                 1.6113,                  1.273,                0.65024,                0.51577,                0.60972,                0.45045,                 1.0838,                 1.1201,                 1.1246,                 0.0937,                 0.0007,                 0.0007
                      1,                 1.2077,                 1.4834,                 1.2576,                0.60172,                 0.6233,                0.64724,                0.47904,                 1.0706,                 1.0625,                 1.1134,               0.086485,              0.0014851,              0.0014851
                      2,                 1.1725,                 1.3432,                 1.1965,                0.63554,                0.62254,                0.66351,                0.49406,                 1.0562,                 1.0576,                 1.1032,               0.079254,              0.0022545,              0.0022545
                      3,                 1.2118,                 1.3895,                  1.228,                0.61149,                0.62621,                0.66192,                0.49261,                 1.0586,                 1.1008,                 1.1003,               0.072008,              0.0030079,              0.0030079
                      4,                 1.1335,                 1.2285,                 1.1968,                0.68254,                0.62207,                0.68119,                0.50733,                 1.0739,                 1.0141,                 1.1063,               0.064746,              0.0037456,              0.0037456
                      5,                  1.107,                 1.2659,                 1.1683,                0.72731,                0.60347,                0.69779,                0.51797,                 1.0782,                0.97633,                 1.1074,               0.057467,              0.0044673,              0.0044673
                      6,                 1.0962,                 1.1345,                 1.1631,                 0.7481,                0.60171,                0.68267,                0.51555,                 1.0643,                 1.0237,                  1.106,               0.050173,              0.0051733,              0.0051733
                      7,                  1.106,                 1.1179,                 1.1777,                0.72588,                0.62494,                0.71099,                0.53367,                 1.0365,                0.92149,                 1.0869,               0.042863,              0.0058634,              0.0058634
                      8,                  1.049,                 1.0475,                 1.1252,                0.68904,                0.50495,                0.57482,                 0.4328,                 1.1475,                 1.2416,                 1.1613,               0.035538,              0.0065377,              0.0065377
                      9,                 1.1056,                 1.1473,                 1.1911,                0.67368,                0.56446,                 0.6439,                0.47659,                  1.139,                  1.156,                  1.163,               0.028196,              0.0071961,              0.0071961
                     10,                 1.1208,                 1.1431,                 1.1714,                0.74093,                0.55483,                0.65635,                0.48225,                 1.1469,                 1.1147,                  1.152,               0.020839,              0.0078387,              0.0078387
                     11,                 1.1397,                 1.1797,                 1.2115,                0.75382,                0.56468,                0.68335,                0.48803,                 1.1092,                 1.1023,                 1.1437,               0.013465,              0.0084655,              0.0084655
                     12,                 1.0841,                 1.0905,                 1.1748,                0.63753,                0.52135,                0.58803,                0.42568,                 1.1593,                 1.3547,                 1.1759,               0.008812,               0.008812,               0.008812
